SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY
603759.SH,603759,海天股份,10533413,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,298328708.0,,,,,,,,,,,,403715.7,33044053.31,,0,331776477.01,125663528.88,,,,,,77878271.29,36106998.47,62299676.38,,0,301948475.02,,0,29828001.99,3557471.0,,260.0,,,16018000.0,,0,19575731.0,66867336.86,280090000.0,,85570582.15,,247638097.64,,0,680166016.65,,0,-660590285.65,,,1301600800.1,,61675193.01,,0,1363275993.11,413684927.42,23637582.19,,,226233365.49,,,0,663555875.1,,0,699720118.01,,,0,68957834.35,447148588.97,,0,516106423.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4452007406,,,,,,,,,,,,754.036875527,-1.7184427024,,,17.0571948574,-0.0482934296,,,,,,20.5583631432,40.976964958,11.0165590066,,,10.9893823131,,,162.1226075005,,,-56.6666666667,,,301.8404493274,,,391.01864615,-58.9002624899,,,,,405.3775829497,,,221.2939028506,,,-218.036214334,,,473.6364731776,,-4.7308554034,,,367.4496129375,1045.417906916,6.0650315686,,,64.7944887005,,,,239.0946541636,,,629.2039242428,,,,168.7015648514,21.4839136192,,,92.7933811863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603759.SH,603759,海天股份,10533413,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-06 00:00:00,2025-03-06 00:00:00,CNY,1261505139.98,,,,,,,,,,,,4019232.18,153267424.72,,0,1418791796.88,420591117.9,,,,,,198589123.39,114961402.29,227448854.85,,0,961590498.43,,0,457201298.45,,3846640.37,205328.0,7791000.0,,85899374.6,,0,97742342.97,369928809.81,174400000.0,,,,98841157.02,,0,643169966.83,,0,-545427623.86,8970000.0,8970000.0,1190119476.4,,226752048.35,,0,1425841524.75,921639833.88,223279233.24,707148.76,,113619805.37,,,0,1258538872.49,,0,167302652.26,,,0,79076326.85,368072262.12,,0,447148588.97,330249806.01,339212.95,77233690.77,77233690.77,,165859033.13,4682331.28,,,,300279.36,91949.5,,94955626.86,-9971380.44,-20830231.17,-21670049.89,839818.72,,24059044.72,-329455291.02,52922668.1,7870569.75,,0.0,457201298.45,,,,,447148588.97,368072262.12,,,,,79076326.85,19.9135404489,,,,,,,,,,,,-43.7744263378,5.7517730348,,,17.8308499754,2.5560463588,,,,,,12.8810867674,18.4157864998,15.1723792763,,,9.1966120149,,,41.3351772674,,-61.235318981,-50.5505980707,122.9642771248,,1947.1175488525,,,-41.8299637136,-3.1599475872,248.8,,,,618.2631220602,,,44.2858518157,,,-96.3861250288,-39.5543402559,-39.5543402559,-8.5058556451,,-19.8563564929,,,-10.8030712992,-28.421260208,128.533450181,8.4431468764,,-38.6759052828,,,,-19.8672425895,,,498.2615582863,,,,7.2660557629,25.0447390124,,,21.4839136192,39.4826178232,27.0083933168,1.6636434672,1.6636434672,,17.6929142729,25.3322164191,,,,626.7592257177,-50.2466174144,,11.478321318,38.3848446441,-252.2842631859,-335.649163566,189.4655053767,,241.7853717191,-17.9664730955,-3.063222284,593.9313833539,,,41.3351772674,,,,,21.4839136192,25.0447390124,,,,,7.2660557629,标准无保留意见,,,
603759.SH,603759,海天股份,10533413,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2024-10-30 00:00:00,CNY,855603083.23,,,,,,,,,,,,3300289.51,107394166.97,,0,966297539.71,328830182.49,,,,,,155964812.01,88522683.69,167226410.65,,0,740544088.84,,0,225753450.87,5950000.0,311854.37,24325.0,,,58252374.6,,0,64538553.97,275767010.07,69300000.0,,,,49299000.0,,0,394366010.07,,0,-329827456.1,8970000.0,8970000.0,645272164.2,,98508254.17,,0,752750418.37,417859082.67,197676049.81,707148.76,,120225811.66,,,0,735760944.14,,0,16989474.23,,,0,-87084531.0,368072262.12,,0,280987731.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5413492057,,,,,,,,,,,,-50.3165040543,1.3488728077,,,19.174863655,14.122377261,,,,,,13.4985851997,22.0086117548,20.4541558077,,,16.2662318779,,,29.8291371208,-96.0465116279,-92.7936372024,-93.8112605698,,,1836.3623711539,,,-59.2118997761,-4.6675041786,38.3233510847,,,,184.7370981723,,,10.5650002815,,,-66.1987576314,-15.8518836902,-15.8518836902,-40.3186615955,,-55.4073737368,,,-42.6590636537,-60.9329585013,161.2856329405,8.4431468764,,-40.008032592,,,,-45.3231393393,,,151.6545842789,,,,-51.5590969048,25.0447390124,,,18.6136090588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603759.SH,603759,海天股份,10533413,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-20 00:00:00,2024-08-20 00:00:00,CNY,580730710.69,,,,,,,,,,,,463357.25,70910894.54,,0,652104962.48,222754420.29,,,,,,106797033.18,62636055.09,102697671.52,,0,494885180.08,,0,157219782.4,4000000.0,,9400.0,,,4016159.19,,0,8025559.19,234195980.27,,,,,49001051.35,,0,283197031.62,,0,-275171472.43,8420000.0,8420000.0,422400664.2,,76916788.09,,0,507737452.29,117040277.0,172558242.18,,,209999575.72,,,0,499598094.9,,0,8139357.39,,,0,-109812332.64,368072262.12,,0,258259929.48,116011516.11,324340.63,36476948.25,36476948.25,,81033453.15,2323868.85,,,,31595.48,47009.27,,44483757.85,-6873509.85,-7022372.71,-9261955.21,2239582.5,,15468672.33,-100523103.86,-40320070.5,,,0.0,157219782.4,,,,,258259929.48,368072262.12,,,,,-109812332.64,25.1602717615,,,,,,,,,,,,-87.7801397373,7.1003671838,,,22.1190353785,24.7951154326,,,,,,12.2633990471,25.5974573311,18.8902395025,,,20.7397504949,,,26.6740373881,-97.3333333333,,-97.4840574894,,,1786.6520290946,,,-94.7075277744,17.0750475526,,,,,2254.2426715403,,,12.3260241587,,,-173.8581554663,-15.8,-15.8,-24.4493316564,,-62.4902270459,,,-34.4138836393,-80.4092066816,244.6030927427,,,26.124967794,,,,-38.6243564748,,,120.4266686172,,,,-577.3261740225,25.0447390124,,,-7.1474500715,-2.3363774288,21195.8877756037,-7.0383383389,-7.0383383389,,29.1438979067,28.553849492,,,,153.9697159249,,,11.1985817861,20.9777288185,-49.7491978005,-107.151585675,1125.8149569442,,678.0870200877,34.5435985992,-669.546081847,,,,26.6740373881,,,,,-7.1474500715,25.0447390124,,,,,-577.3261740225,,,,
603759.SH,603759,海天股份,10533413,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-25 00:00:00,2025-04-30 00:00:00,CNY,249761988.05,,,,,,,,,,,,47271.46,33621825.11,,0,283431084.62,125724245.43,,,,,,64597983.3,25611984.54,56117462.96,,0,272051676.23,,0,11379408.39,,,600.0,,,3986159.19,,0,3986759.19,162695289.34,,,,,49000609.84,,0,211695899.18,,0,-207709139.99,,,226903424.2,,64737846.94,,0,291641271.14,36116506.03,22285933.3,,,137282118.64,,,0,195684557.97,,0,95956713.17,,,0,-100373018.43,368072262.12,,0,267699243.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1191885536,,,,,,,,,,,,-72.7248435997,-1.8556658422,,,10.2006149918,38.5277928539,,,,,,14.2970718919,8.2582425208,27.2162602573,,,26.5091089478,,,-73.0028635724,,,100.0,,,,,,-92.0407470003,60.7610107685,,,,,1233.5416491783,,,36.6858721818,,,-98.2183300335,,,0.7821304618,,-54.751903087,,,-20.7960573972,-87.5540578903,-10.5312738712,,,251.8842961511,,,,-44.7389875056,,,580.2553458511,,,,-106.8197247463,25.0447390124,,,8.9001549958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603759.SH,603759,海天股份,10533413,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-20 00:00:00,2025-03-06 00:00:00,CNY,1052012254.21,,,,,,,,,,,,7148405.82,144931305.0,,0,1204091965.03,410108553.16,,,,,,175927721.0,97082834.72,197485591.84,,0,880604700.72,,0,323487264.31,150000000.0,9923054.36,415228.48,3494281.73,,4196113.44,,0,168028678.01,381999803.38,50000000.0,,,,13761134.88,,0,445760938.26,,0,-277732260.25,14839775.16,14839775.16,1300760267.0,,282932043.55,,0,1598532085.71,1287588796.0,97700898.08,652091.7,,185277590.96,,,0,1570567285.04,,0,27964800.67,,,0,73719804.73,294352457.39,,0,368072262.12,236767714.26,267079.16,75969823.76,75969823.76,,140925249.54,3735935.91,,,,-57005.05,184810.55,,85178558.25,-16183324.35,-5912904.25,-4974197.52,-938706.73,,-16968636.77,-279278749.61,54595035.39,1134200.0,1134200.0,0.0,323487264.31,,,,,368072262.12,294352457.39,,,,,73719804.73,4.9647669083,,,,,,,,,,,,-83.7774104043,7.5707224552,,,1.951107495,14.0285136456,,,,,,12.6571141346,-3.9195894117,13.2596242214,,,11.2963405455,,,-17.016935756,-65.1140749283,-63.0625077165,-27.3167543345,-27.7040432152,,-90.354742358,,,-66.7760927948,36.829684111,-89.9628133786,,,,-81.9499847377,,,-47.8256215843,,,20.3340923246,-1.0021670447,-1.0021670447,25.0679710814,,56.8009886234,,,29.386253775,61.4357245342,-44.7337183337,-44.0123382888,,-14.5699354104,,,,31.8425659199,,,-36.7718614344,,,,-13.7077842533,40.8910543713,,,25.0447390124,10.030279542,-79.6949690935,12.9004274008,12.9004274008,,11.9048761319,12.9017370194,,,,-13.3609047706,63.8408975841,,-6.7053671643,46.5773745929,-903.3007568366,-151.2937537643,-167.528473295,,-220.4069084062,-47.362885706,11.6695428276,,-95.4359919178,,-17.016935756,,,,,25.0447390124,40.8910543713,,,,,-13.7077842533,标准无保留意见,,,
603759.SH,603759,海天股份,10533413,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-26 00:00:00,2024-10-30 00:00:00,CNY,698215817.58,,,,,,,,,,,,6642627.39,105964836.11,,0,810823281.08,288138216.52,,,,,,137415644.2,72554455.31,138829922.08,,0,636938238.11,,0,173885042.97,150500000.0,4327486.4,393052.58,,,3008340.56,,0,158228879.54,289268635.73,50100000.8,,,,17313866.13,,0,356682502.66,,0,-198453623.12,10659775.16,10659775.16,1081195867.0,,220907047.7,,0,1312762689.86,1069594898.0,75655154.7,652091.7,,200403182.05,,,0,1345653234.75,,0,-32890544.89,,,0,-57459125.04,294352457.39,,0,236893332.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9352633637,,,,,,,,,,,,285.9475908852,3.2782084449,,,-0.6730204916,4.4076295925,,,,,,11.5301764743,-3.164273958,9.7288921382,,,6.0450576751,,,-19.3810082707,-62.3724443364,-81.6438633373,-23.6635469368,,,-96.0658146843,,,-68.3877044555,26.5396316935,-89.299160135,,,,252.1868359793,,,-49.1970326239,,,1.5413398133,1321.3033546667,1321.3033546667,16.0277266376,,149.9131972192,,,28.5779096639,76.5171148203,-49.5963587795,-44.0123382888,,103.6707114582,,,,57.4898097938,,,-119.7484004523,,,,-131.8024795735,40.8910543713,,,-39.195291359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603759.SH,603759,海天股份,10533413,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-20 00:00:00,CNY,463989653.04,,,,,,,,,,,,3791837.55,66209758.57,,0,533991249.16,178496105.01,,,,,,95130767.54,49870480.2,86380237.73,,0,409877590.48,,0,124113658.68,150000000.0,1054536.4,373617.44,,,212872.28,,0,151641026.12,200039192.95,50000000.8,,,,2081393.39,,0,252120587.14,,0,-100479561.02,10000000.0,10000000.0,559095867.0,,205057994.31,,0,774153861.31,597424898.0,50074490.28,,,166501192.74,,,0,814000581.02,,0,-39846719.71,,,0,-16212622.05,294352457.39,,0,278139835.34,118786824.67,1523.02,39238700.77,39238700.77,,62746637.25,1807700.71,,,,-58542.98,0.0,,40003889.56,-8698193.24,-4689422.59,-4471100.32,-218322.27,,-2675838.03,-153572609.72,7079334.19,,,0.0,124113658.68,,,,,278139835.34,294352457.39,,,,,-16212622.05,-4.8383048074,,,,,,,,,,,,249.2373924712,-0.3060676018,,,-3.7990623021,-0.3168648987,,,,,,13.2556240934,-8.6296596078,11.5080402693,,,3.7386188296,,,-22.415855411,0.0,-75.1476476309,3835.3006109122,,,-99.7249396553,,,-34.5369858165,26.8615975519,-77.0825879688,,,,15.9976879749,,,-33.3049399537,,,31.355196235,,,-37.9588801845,,566.0256592893,,,-16.9325512683,22.8149805616,-58.5359507827,,,22.5358372202,,,,9.5428632363,,,-121.0974871477,,,,-108.0075613417,40.8910543713,,,-32.3899739134,18.006419882,-97.2957467787,17.2889163136,17.2889163136,,1.0523453707,23.720529389,,,,-1937.0569609242,-100.0,,-28.8580554223,-46.5831583653,-22.583516114,-34.4320069516,56.2981809447,,78.8186651459,-42.5223835463,-71.1533910827,,,,-22.415855411,,,,,-32.3899739134,40.8910543713,,,,,-108.0075613417,,,,
603759.SH,603759,海天股份,10533413,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2024-04-25 00:00:00,CNY,222764712.51,,,,,,,,,,,,173313.25,34257530.4,,0,257195556.16,90757416.14,,,,,,56517618.72,23658230.49,44111863.41,,0,215045128.76,,0,42150427.4,50000000.0,89315.07,300.0,,,,,0,50089615.07,101203201.3,50000000.8,,,,3674471.65,,0,154877673.75,,0,-104788058.68,,,225142516.0,,143073082.31,,0,368215598.31,290187000.0,24909188.12,,,39013425.76,,,0,354109613.88,,0,14105984.43,,,0,-48531646.85,294352457.39,,0,245820810.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0077150705,,,,,,,,,,,,-66.8307065536,-2.1039549571,,,5.5409770511,-5.7037804132,,,,,,13.4814124455,-17.2877170976,23.5051208734,,,2.2222256851,,,26.4928579231,-50.0,-89.7716675884,-94.3396226415,,,,,,-59.2017772502,5.6107039114,-49.9999992,,,,-9.0850859884,,,-22.5101405237,,,-35.9219292343,,,-30.7184694459,,80.8652534312,,,-8.8738502581,46.3735365774,-9.4179132077,,,-33.2309808111,,,,24.6073084216,,,-88.2344163619,,,,-163.7567608082,40.8910543713,,,-13.7598038266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
